,0,1,2,3,4,5,6,7,period_mean,period_std
21,2048.0,5498.0,5573.0,5731.0,5360.0,3937.0,717.0,,4123.428571428572,2002.0828202268806
22,6120.0,5617.0,5719.0,5270.0,5387.0,3561.0,613.0,,4612.428571428572,1942.4952901824374
23,5728.0,5863.0,5960.0,5777.0,5481.0,3722.0,726.0,,4751.0,1936.3968257221106
24,6274.0,5934.0,6045.0,5569.0,5565.0,3761.0,676.0,,4832.0,2011.0101939075296
25,6399.0,5548.0,5184.0,4898.0,4889.0,3150.0,621.0,,4384.142857142857,1926.0177767067667
26,5427.0,5089.0,5773.0,5486.0,5376.0,3539.0,794.0,,4497.714285714285,1789.9847033131982
27,6927.0,5598.0,6915.0,6742.0,5797.0,4379.0,896.0,,5322.0,2156.7954624086788
28,6959.0,6502.0,6759.0,6977.0,6617.0,2632.0,585.0,,5290.142857142857,2589.1231738802635
29,6473.0,7239.0,7227.0,6471.0,6100.0,4019.0,688.0,,5459.571428571428,2366.2024326715905
30,6455.0,6354.0,6471.0,7081.0,6850.0,4297.0,761.0,,5467.0,2265.8313411784793
31,7557.0,7527.0,8090.0,8262.0,6942.0,3999.0,703.0,,6154.285714285715,2799.5138693640906
32,6653.0,6174.0,6199.0,6096.0,5483.0,3198.0,549.0,,4907.428571428572,2235.375051092684
33,5500.0,5394.0,1901.0,5779.0,5703.0,3276.0,529.0,,4011.714285714286,2130.5376249736996
34,5677.0,5685.0,5689.0,5493.0,5614.0,3668.0,629.0,,4636.428571428572,1913.8484664102727
35,6022.0,5744.0,6019.0,5776.0,5551.0,3831.0,716.0,,4808.428571428572,1958.0805956465683
36,6444.0,6100.0,6710.0,6367.0,6245.0,3917.0,767.0,,5221.428571428572,2175.0828993506475
37,6420.0,6175.0,6062.0,6009.0,6150.0,3808.0,753.0,,5053.857142857143,2093.761322641737
38,6296.0,5820.0,5842.0,6320.0,6509.0,4037.0,731.0,,5079.285714285715,2089.1859430797213
39,5772.0,5439.0,5503.0,5486.0,5410.0,3985.0,792.0,,4626.714285714285,1789.2318383676754
40,6157.0,6044.0,6155.0,6274.0,6163.0,3950.0,683.0,,5060.857142857143,2099.655481943917
41,6981.0,6130.0,6659.0,5951.0,5586.0,3806.0,794.0,,5129.571428571428,2167.944099613184
42,6150.0,5696.0,5887.0,5471.0,5494.0,3474.0,663.0,,4690.714285714285,1980.2442369806906
